date,reception_room,clue,operator_1,operator_2
2020-07-31,1,5,Gitano,May
2020-07-31,0,2,Gitano,May
2020-07-31,0,2,Gitano,Rope
2020-08-01,1,4,Gitano,Jessica
2020-08-01,0,2,Gitano,Jessica
2020-08-01,0,3,Jessica,Shirayuki
2020-08-01,0,6,Gitano,Shirayuki
2020-08-02,1,2,Gitano,Shirayuki
2020-08-02,0,3,Gitano,Shirayuki
2020-08-02,0,3,Gitano,Rope
2020-08-02,1,3,Rope,Shirayuki
2020-08-03,0,3,Gitano,Shirayuki
2020-08-03,0,2,Gitano,Shirayuki
2020-08-04,1,1,Gitano,Shirayuki
2020-08-04,0,6,Gitano,Rope
2020-08-04,0,1,Rope,Shirayuki
2020-08-04,0,1,Rope,Shirayuki
2020-08-05,1,7,Rope,Shirayuki
2020-08-05,0,2,Gitano,Shirayuki
2020-08-05,0,4,Gitano,Rope
2020-08-06,1,6,Gitano,Rope
2020-08-06,0,6,Jessica,Rope
2020-08-06,0,6,Gitano,Jessica
2020-08-07,1,6,Gitano,Jessica
2020-08-07,0,6,Gitano,Jessica
2020-08-07,0,4,Gitano,Rope
2020-08-07,0,4,Firewatch,Rope
2020-08-08,1,3,Firewatch,Rope
2020-08-08,0,4,Gitano,Rope
2020-08-08,0,7,Gitano,Rope
2020-08-09,1,3,Firewatch,Gitano
2020-08-09,0,3,Firewatch,Rope
2020-08-09,0,2,Gitano,Rope
2020-08-10,1,1,Gitano,Rope
2020-08-10,0,4,Gitano,Jessica
2020-08-10,0,6,Jessica,Rope
2020-08-10,0,3,Jessica,Rope
2020-08-11,1,6,Gitano,Rope
,,,,
,,,,
